id,kategori,nama_budaya,deskripsi_singkat,makna_dan_fungsi,lokasi_utama,lintang,bujur,kondisi
1,Tarian Tradisional,Tari Perang,Gerakan menirukan pertempuran pakai tongkat & perisai kulit kerbau,Simbol keberanian leluhur & bela diri,Seluruh Lombok,-8.5650,116.3510,Terawat
2,Tarian Tradisional,Tari Rudat,Tarian kelompok gerakan lincah pakai sarung kotak-kotak iringan gendang,Melambangkan kegagahan prajurit & doa keselamatan,Lombok Timur,-8.3715,116.5258,Terawat
3,Tarian Tradisional,Tari Gandrung Sasak,Tarian penyambutan tamu gerakan luwes disertai syair pujian,Ungkapan hormat & keramahan,Lombok Barat & Mataram,-8.5833,116.1167,Terawat
4,Tarian Tradisional,Tari Oncer,Tarian 3 babak tentang peperangan diciptakan tahun 1960,Cerita sejarah perjuangan Kerajaan Selaparang,Desa Puyung Lombok Tengah,-8.7281,116.2419,Tidak Terawat
5,Tarian Tradisional,Tari Tandang Mendet,Tarian prajurit bawa tombak tameng & kelewang era Selaparang,Kekuatan spiritual & perlindungan desa,Sembalun Lombok Timur,-8.3598,116.5258,Tidak Terawat
6,Tarian Tradisional,Tari Tandak Gerok,Tarian gotong royong berbagai profesi petani nelayan tukang,Persatuan & kegembiraan pasca panen,Lombok Timur,-8.3715,116.5258,Tidak Terawat
7,Tarian Tradisional,Tari Genggong,Tarian 7 orang pemusik sambil menari iringan seruling & rebab,Harmoni alam & manusia,Lombok Tengah,-8.7903,116.2533,Tidak Terawat
8,Tarian Tradisional,Tari Kayak Sando,Tarian bertopeng bercerita kisah Panji dari Jawa kuno,Pelestarian sastra lisan,Lombok Tengah & Timur,-8.5809,116.3896,Rusak Berat
9,Tarian Tradisional,Tari Cupak Gerantang,Tarian upacara penting berdasar kisah Panji abad 15,Kesucian & keberkahan acara besar,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
10,Tarian Tradisional,Tari Lenggo Sasak,Gerakan lembut menyerupai dahan tertiup angin,Keramahan & kehalusan budi,Lombok Utara,-8.3236,116.0458,Tidak Terawat
11,Tarian Tradisional,Tari Nguri,Tarian wanita gerakan halus diiringi gamelan selonding,Kesucian & keanggunan,Lombok Tengah,-8.7903,116.2533,Terawat
12,Tarian Tradisional,Tari Pakon,Tarian sakral pemanggilan roh leluhur saat upacara besar,Hubungan manusia dengan dunia gaib,Bayan Lombok Utara,-8.2666,116.4272,Tidak Terawat
13,Tarian Tradisional,Tari Cilokaq,Tarian berpasangan gerakan jenaka & luwes,Hiburan & mempererat silaturahmi,Lombok Barat,-8.7167,116.1167,Tidak Terawat
14,Tarian Tradisional,Tari Betek,Tarian ketangkasan melempar & menangkap batang kayu,Ketangkasan fisik & kerjasama,Seluruh Lombok,-8.5650,116.3510,Terawat
15,Tarian Tradisional,Tari Jidur,Tarian berirama pukulan gendang kecil jidur secara berkelompok,Kekompakan & rasa syukur,Lombok Timur,-8.3715,116.5258,Terawat
16,Tarian Tradisional,Tari Serampang Dua Belas,Tarian 12 gerakan utama akulturasi Islam & budaya lokal,Ajaran moral 12 prinsip hidup,Kota Mataram,-8.5833,116.1167,Tidak Terawat
17,Tarian Tradisional,Tari Pencak Sasak,Gerakan bela diri yang diubah menjadi gerak tari,Displin & ketangguhan fisik,Seluruh Lombok,-8.5650,116.3510,Terawat
18,Tarian Tradisional,Tari Kipas Sasak,Tarian wanita memakai kipas anyaman bambu bermotif,Keanggunan & kesopanan,Desa Sukarare Lombok Tengah,-8.7619,116.2147,Terawat
19,Tarian Tradisional,Tari Topeng Lingsar,Tarian bertopeng di lingkungan Pura Lingsar,Kerukunan antar pemeluk agama,Lingsar Lombok Barat,-8.5758,116.1801,Terawat
20,Tarian Tradisional,Tari Malean Sampi,Tarian mengiringi arak-arakan sapi saat festival pasca panen,Rasa syukur atas hasil alam,Sembalun Lombok Timur,-8.3598,116.5258,Tidak Terawat
21,Tarian Tradisional,Tari Bau Nyale,Tarian khusus saat upacara menangkap cacing laut di pantai,Penghormatan Putri Mandalika,Pantai Seger Kuta Lombok Tengah,-8.8983,116.3050,Terawat
22,Tarian Tradisional,Tari Nyongkolan,Tarian mengiringi iring-iringan pengantin keliling desa,Kebahagiaan & pengenalan pengantin baru,Seluruh Lombok,-8.5650,116.3510,Terawat
23,Tarian Tradisional,Tari Rebana Sasak,Tarian berirama pukulan rebana sambil berbaris,Akulturasi budaya Islam & lokal,Seluruh Lombok,-8.5650,116.3510,Terawat
24,Tarian Tradisional,Tari Selonding,Tarian lambat sakral iringan gamelan besi,Doa keselamatan & kesuburan tanah,Lombok Tengah,-8.7903,116.2533,Terawat
25,Alat Musik Tradisional,Gendang Beleq,Gendang besar dimainkan berkelompok jumlah ganjil,Kegagahan persaudaraan & iringan utama adat,Lombok Timur,-8.3715,116.5258,Terawat
26,Alat Musik Tradisional,Gamelan Selonding Sasak,Perangkat gamelan dari besi nada khas berbeda dari Bali,Alat musik sakral upacara adat & agama,Lombok Tengah,-8.7903,116.2533,Terawat
27,Alat Musik Tradisional,Ceng-ceng,Simbal kecil dari tembaga dipukul bersamaan,Mempertegas irama & semarak,Seluruh Lombok,-8.5650,116.3510,Terawat
28,Alat Musik Tradisional,Gong Sasak,Gong besar berukuran sedang sampai besar,Tanda dimulainya & diakhirinya acara,Seluruh Lombok,-8.5650,116.3510,Terawat
29,Alat Musik Tradisional,Suling Sasak,Seruling bambu dengan 6 lubang nada khas Sasak,Iringan lembut penyejuk suasana,Seluruh Lombok,-8.5650,116.3510,Terawat
30,Alat Musik Tradisional,Rebab Sasak,Alat petik dawai 2 berleher panjang mirip kecapi,Akulturasi budaya Arab & lokal,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
31,Alat Musik Tradisional,Jidur,Gendang kecil berdiameter sekitar 20 cm dimainkan berkelompok,Iringan tarian & shalawatan,Lombok Timur,-8.3715,116.5258,Terawat
32,Alat Musik Tradisional,Petuk,Alat pukul dari kayu keras berpasangan,Bunyi tajam pemandu irama gendang beleq,Lombok Timur,-8.3715,116.5258,Terawat
33,Alat Musik Tradisional,Kenceng,Alat musik dari lempengan besi dipukul atau digenggam,Iringan tari Oncer & upacara kecil,Desa Puyung Lombok Tengah,-8.7281,116.2419,Rusak Berat
34,Alat Musik Tradisional,Gamelan Gambang Sasak,Perangkat bilah kayu di atas rongga suara,Hiburan rakyat tempo dulu,Lombok Tengah,-8.7903,116.2533,Rusak Berat
35,Alat Musik Tradisional,Terompong Sasak,Susunan gong kecil berbaris di atas bingkai,Melodi utama dalam ansambel gamelan,Lombok Barat,-8.7167,116.1167,Tidak Terawat
36,Alat Musik Tradisional,Kendang Kencik,Gendang kecil berukuran separuh gendang biasa,Pengatur tempo cepat lambat,Seluruh Lombok,-8.5650,116.3510,Terawat
37,Alat Musik Tradisional,Bedug Adat,Tabuh besar dari batang pohon berlubang,Pemanggil warga & tanda waktu ibadah,Seluruh Lombok,-8.5650,116.3510,Terawat
38,Alat Musik Tradisional,Genggong,Alat musik mulut dari bambu & dawai halus,Bunyi unik khas daerah pegunungan,Sembalun Senaru,-8.3253,116.4642,Tidak Terawat
39,Alat Musik Tradisional,Kalaleng,Seruling bambu besar nadanya rendah berat,Iringan upacara tolak bala,Bayan Lombok Utara,-8.2666,116.4272,Rusak Berat
40,Alat Musik Tradisional,Kecer,Alat pukul dari tempurung kelapa bertali,Permainan musik anak-anak & iringan ringan,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
41,Alat Musik Tradisional,Gamelan Lingsar,Perangkat gamelan khusus milik Pura Lingsar,Kerukunan Hindu & Islam Wetu Telu,Lingsar Lombok Barat,-8.5758,116.1801,Terawat
42,Alat Musik Tradisional,Saron Sasak,Bilah besi dipukul pemukul kayu,Melodi sederhana dalam gamelan,Lombok Tengah,-8.7903,116.2533,Tidak Terawat
43,Alat Musik Tradisional,Kempul,Gong kecil berjumlah banyak nada berbeda,Pelengkap harmoni gamelan,Seluruh Lombok,-8.5650,116.3510,Terawat
44,Alat Musik Tradisional,Rebana Ubi,Rebana berukuran sangat besar dimainkan berkelompok,Shalawatan & peringatan hari besar Islam,Lombok Timur,-8.3715,116.5258,Terawat
45,Rumah Adat & Arsitektur,Bale Lumbung,Rumah panggung persegi panjang tanpa paku atap rumbia,Kesederhanaan keselarasan alam & gotong royong,Desa Sade Rambitan,-8.8423,116.2989,Terawat
46,Rumah Adat & Arsitektur,Dalam Beleq,Rumah adat besar banyak tiang penyangga milik kaum bangsawan,Pusat musyawarah & upacara besar,Lombok Tengah,-8.7903,116.2533,Terawat
47,Rumah Adat & Arsitektur,Bale Tani,Rumah terbuka tanpa dinding beratap rumbia,Tempat musyawarah warga & mengeringkan hasil panen,Seluruh Lombok,-8.5650,116.3510,Terawat
48,Rumah Adat & Arsitektur,Berugak,Gedung pertemuan beratap bulat atau segi delapan,Pusat kegiatan sosial keagamaan warga,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
49,Rumah Adat & Arsitektur,Lumbung Padi Sasak,Gudang padi terpisah dari rumah tinggal ditinggikan tiang,Menjaga hasil panen dari hewan & kelembaban,Seluruh Lombok,-8.5650,116.3510,Terawat
50,Rumah Adat & Arsitektur,Tiang Sembilan,Bagian utama Dalam Beleq ditopang 9 tiang kayu besar,Filosofi 9 sifat utama manusia sempurna,Lombok Tengah,-8.7903,116.2533,Terawat
51,Rumah Adat & Arsitektur,Atap Rumbia,Atap dari daun pohon rumbia disusun berlapis-lapis,Tahan panas hujan & simbol kerendahan hati,Seluruh Lombok,-8.5650,116.3510,Terawat
52,Rumah Adat & Arsitektur,Lantai Anyaman Bambu,Lantai dari bilah bambu dianyam rapi ditinggikan 1-1,5 m,Menjaga kelembaban & sirkulasi udara sehat,Seluruh Lombok,-8.5650,116.3510,Terawat
53,Rumah Adat & Arsitektur,Pintu Satu Arah,Rumah Sasak umumnya hanya punya 1 pintu utama,Filosofi satu tujuan hidup & menjaga privasi,Seluruh Lombok,-8.5650,116.3510,Terawat
54,Rumah Adat & Arsitektur,Jendela Kecil Saja,Hanya sedikit bukaan jendela berukuran kecil,Menjaga suhu ruang tetap sejuk & keamanan,Seluruh Lombok,-8.5650,116.3510,Terawat
55,Rumah Adat & Arsitektur,Pondasi Batu Alam,Tanpa semen hanya ditumpuk batu kali rapi,Kekuatan alam & tidak merusak tanah,Seluruh Lombok,-8.5650,116.3510,Terawat
56,Rumah Adat & Arsitektur,Istana Dalam Puri,Kediaman raja zaman Kerajaan Selaparang,Pusat pemerintahan kerajaan,Lombok Tengah,-8.7294,116.2264,Tidak Terawat
57,Rumah Adat & Arsitektur,Taman Narmada,Taman air kerajaan tiruan Gunung Rinjani & Danau Segara Anak,Tempat ritual raja & rekreasi,Narmada Lombok Barat,-8.5750,116.1500,Tidak Terawat
58,Rumah Adat & Arsitektur,Taman Mayura,Kolam besar dengan paviliun terapung bekas pengadilan kerajaan,Saksi sejarah peradaban Lombok,Cakranegara Mataram,-8.5897,116.1064,Terawat
59,Rumah Adat & Arsitektur,Berugak Bayan,Berugak tertua di Lombok abad ke-16 corak Islam awal,Saksi penyebaran agama Islam pertama,Bayan Lombok Utara,-8.2666,116.4272,Tidak Terawat
60,Rumah Adat & Arsitektur,Pura Meru,Kuil Hindu terbesar di Lombok 3 meru utama bertingkat,Akulturasi budaya Bali & Sasak,Cakranegara Mataram,-8.5892,116.1058,Terawat
61,Rumah Adat & Arsitektur,Pura Lingsar,Kuil unik umat Hindu & Islam Wetu Telu beribadah berdampingan,Simbol kerukunan abadi antar umat beragama,Lingsar Lombok Barat,-8.5758,116.1801,Terawat
62,Rumah Adat & Arsitektur,Masjid Kuno Bayan Beleq,Masjid kayu tanpa paku abad ke-16,Warisan Islam tertua & terawat di NTB,Bayan Lombok Utara,-8.2666,116.4272,Terawat
63,Rumah Adat & Arsitektur,Bale Datu,Rumah khusus tempat menyimpan benda pusaka desa,Menjaga warisan leluhur tetap aman & suci,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
64,Rumah Adat & Arsitektur,Susunan Kampung Melingkar,Rumah-rumah disusun melingkar berhadapan,Memudahkan pengawasan & rasa kebersamaan,Desa Sade,-8.8394,116.2921,Terawat
65,Rumah Adat & Arsitektur,Jalan Setapak Tanah Liat,Jalan utama desa dipadatkan tanah liat & jerami,Kesederhanaan hidup selaras alam,Desa Rambitan,-8.8452,116.3058,Tidak Terawat
